,2Z,,,,2N,,,,3Z,,,,3N,,,,
,20010,20011,20020,20021,21010,21011,21020,21021,30010,30011,30020,30021,31010,31011,31020,31021,
,,,,,,,,,,,,,,,,,
rae_a,0.04,0.06,0.30,0.29,0.21,0.79,1.07,2.23,0.39,0.24,0.05,0.11,1.64,1.09,0.19,0.14,
rae_b,0.08,0.04,0.43,0.61,0.26,0.34,0.99,1.41,0.15,0.27,0.22,0.52,0.83,0.78,0.40,0.17,
rae_c,NA,NA,NA,NA,NA,NA,NA,NA,0.08,0.09,0.11,0.08,1.30,1.01,0.23,0.30,
rae_C-NAV,NA,NA,NA,NA,NA,NA,NA,NA,0.21,0.21,0.27,0.19,0.18,0.11,0.11,0.11,
,,,,,,,,,,,,,,,,,
RAP,0.11,0.06,0.16,0.42,0.30,0.31,0.23,0.25,0.37,0.37,0.16,0.46,0.31,0.13,1.89,0.06,
,,,,,,,,,,,,,,,,,
SD_A,0.6405126,0.4002654,1.916169,2.576996,1.315657,3.224914,7.444237,6.650622,3.168353,1.933194,0.4032021,0.519519,3.903346,1.028771,3.287949,1.0067951,
SD_B,1.8341989,2.2975142,3.707235,3.079606,2.498571,5.268251,8.256743,7.59515,2.679798,2.466441,1.3803195,1.844662,4.201733,0.875595,4.951125,0.7891307,
SD_C,NA,NA,NA,NA,NA,NA,NA,NA,1.92472,2.068039,2.5115556,1.452727,4.793846,7.266139,2.544156,2.9901353,
,,,,,,,,,,,,,,,,,
wrae_a,0.05,0.06,0.30,0.21,0.24,0.81,0.96,2.15,0.40,0.26,0.04,0.09,1.65,1.07,0.22,0.15,
wrae_b,0.08,0.03,0.35,0.61,0.30,0.28,1.00,1.44,0.16,0.16,0.23,0.49,0.83,0.74,0.39,0.17,
wrae_c,NA,NA,NA,NA,NA,NA,NA,NA,0.08,0.09,0.11,0.08,1.30,1.01,0.23,0.30,
wrae_cnav,NA,NA,NA,NA,NA,NA,NA,NA,0.22,0.21,0.23,0.19,0.15,0.08,0.10,0.12,
,,,,,,,,,,,,,,,,,
turnover_a,188,415,115,93,257,163,137,97,223,343,97,70,123,147,130,113,
turnover_b,195,212,105,100,145,157,132,77,203,177,77,40,160,147,127,73,
turnover_c,0,0,0,0,0,0,0,0,133,163,77,47,130,60,90,100,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,2Z,2N,3Z,3N,,,,,,,,,,,,,
rae_a,0.17,1.51,0.17,0.62,,,,,,,,,,,,,
rae_b,0.32,0.87,0.40,0.48,,,,,,,,,,,,,
rae_c,,,0.09,0.66,,,,,,,,,,,,,
rae_C-NAV,,,0.20,0.11,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
RAP,0.24,0.28,0.42,0.10,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
SD_A,1.49,4.94,1.23,1.02,,,,,,,,,,,,,
SD_B,2.69,6.43,2.16,0.83,,,,,,,,,,,,,
SD_C,,,1.76,5.13,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
wrae_a,0.13,1.48,0.17,0.61,,,,,,,,,,,,,
wrae_b,0.32,0.86,0.33,0.46,,,,,,,,,,,,,
wrae_c,,,0.09,0.66,,,,,,,,,,,,,
wrae_C-NAV,,,0.20,0.10,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
turnover_a,254.17,130.00,206.67,130.00,,,,,,,,,,,,,
turnover_b,155.83,116.67,108.33,110.00,,,,,,,,,,,,,
turnover_c,0.00,0.00,105.00,80.00,,,,,,,,,,,,,